time[s], wr_x[mm], wr_y[mm] 
0.0002,798.8377,1036.136
0.0246,798.722,1036.088
0.0264,792.9632,1036.1651
0.1202,776.4579,1034.5063
0.2202,757.5865,1032.9287
0.3209,738.1295,1030.4969
0.4287,719.2235,1026.2949
0.5211,700.2863,1020.4999
0.62,681.391,1013.1651
0.7224,663.5375,1004.3809
0.8216,646.5786,993.3181
0.9212,630.6346,980.4638
1.0202,615.3109,966.2753
1.1201,600.7356,951.6763
1.2204,587.9313,935.5826
1.3201,576.5702,918.37
1.4297,566.6785,900.75
1.5211,558.5995,881.8845
1.6206,552.5737,862.6555
1.7203,549.1696,843.4009
1.8206,546.2597,823.7282
1.9204,544.9453,803.7437
2.0206,545.805,784.0256
2.1204,548.6297,764.2635
2.2218,552.4659,744.3313
2.3202,558.9242,725.2287
2.42,567.8156,706.5595
2.5201,577.7686,688.6727
2.62,589.6505,671.6951
2.7218,601.5193,655.4019
2.8199,614.7312,639.7384
2.9201,629.1147,625.0022
3.02,645.1349,612.4616
3.1204,662.4013,600.6759
3.2201,680.7283,590.8728
3.3201,699.3195,583.0728
3.4208,718.1451,577.0059
3.5216,737.7663,572.1634
3.6199,758.0672,568.7311
3.7201,778.0116,567.517
3.82,798.2615,568.4451
3.9202,817.8848,571.4823
4.0215,837.4778,576.0919
4.1213,856.2607,582.3763
4.22,874.3721,589.9751
4.3219,891.926,599.4555
4.4205,909.0531,610.6564
4.521,925.2135,623.2667
4.6205,940.1469,636.8003
4.7202,953.3881,652.016
4.8216,965.2708,667.8194
4.92,975.6146,684.6548
5.0201,984.2221,702.618
5.1202,991.21,721.2253
5.2209,996.6045,740.6477
5.3202,1000.771,760.0894
5.431,1002.4579,780.4526
5.5201,1002.2205,800.5108
5.6212,1000.292,820.7444
5.7211,996.5132,840.2719
5.8207,991.6624,859.5041
5.9201,984.6229,878.5867
6.0204,975.8845,896.538
6.122,963.8331,912.8912
6.2201,951.6732,928.3109
6.3219,937.3967,942.4676
6.4296,923.1147,956.2533
6.521,908.4724,969.2731
6.6205,892.4476,980.5121
6.7214,874.6733,990.4432
6.8207,856.7013,998.2744
6.9214,838.226,1004.2301
7.0206,819.1843,1009.223
7.1203,799.0829,1012.6324
7.2201,778.6403,1013.9117
7.3201,758.3911,1013.8644
7.4251,738.08,1010.9649
7.5211,718.242,1006.2242
7.6218,699.0037,1000.0325
7.7202,680.3952,992.8465
7.8199,662.5332,983.8293
7.9202,645.6622,972.834
8.0199,629.3127,961.2261
8.1203,614.1454,948.0847
8.22,599.3547,934.0627
8.3203,585.6061,918.8977
8.4309,573.4475,902.2022
8.5208,564.2255,884.45
8.6202,556.7195,865.9757
8.7201,550.1272,847.4165
8.8214,545.4083,827.5219
8.92,542.0744,807.1558
9.0201,540.9994,786.801
9.1202,541.7417,766.3354
9.2207,544.7447,745.948
9.3203,549.1188,726.085
9.42,555.4761,706.7201
9.5217,563.8179,688.3045
9.6345,573.647,670.318
9.7207,584.1654,652.8512
9.8213,596.6821,636.3702
9.9202,610.0344,621.9949
10.0199,624.5795,608.1236
