time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0003,-1231.4724,1.1078,203.8759,-0.1053
0.7737,-1231.5263,1.1316,203.9022,-0.0455
0.8986,-1231.5148,1.1399,203.8881,-0.0367
1.0517,-1231.4865,1.1626,203.8569,-0.0444
1.0929,-1231.4823,1.1477,203.8589,-0.0180
1.1528,-1231.5164,1.1486,203.8857,-0.0553
1.1957,-1231.5418,1.1327,203.9357,-0.0496
1.2968,-1231.5162,1.1517,203.9210,-0.0836
1.3966,-1231.5250,1.1376,203.8613,-0.0424
1.4961,-1231.4562,1.1083,203.8118,0.0010
1.5973,-1231.4609,1.0804,203.8008,0.0066
1.6971,-1231.4752,1.0989,203.8433,-0.0604
1.7972,-1231.4633,1.1029,203.7892,-0.0321
1.8968,-1231.4960,1.1362,203.8149,-0.0355
1.9968,-1231.4787,1.1146,203.8263,-0.0486
2.0967,-1231.4983,1.1150,203.8467,-0.0643
2.1975,-1231.4846,1.1186,203.8174,-0.0388
2.2986,-1231.4938,1.1296,203.8661,-0.0737
2.3988,-1231.5223,1.1320,203.8730,-0.0560
2.4986,-1231.4968,1.1427,203.8816,-0.0867
2.5986,-1231.4762,1.1523,203.8616,-0.0579
2.7006,-1231.5466,1.1315,203.9222,-0.0439
2.7986,-1231.5019,1.1460,203.9025,-0.0501
2.9001,-1231.5345,1.1438,203.8715,-0.0128
2.9987,-1231.5004,1.1629,203.8594,-0.0224
3.0994,-1231.5166,1.1335,203.9043,-0.0385
3.2010,-1231.4890,1.1429,203.8900,-0.0788
3.2987,-1231.5147,1.1227,203.8698,-0.0514
3.4005,-1231.4997,1.1411,203.8629,-0.0332
3.5001,-1231.4995,1.1550,203.8577,-0.0646
3.6008,-1231.4883,1.1421,203.8527,-0.0703
3.7282,-1231.4961,1.1477,203.8591,-0.0745
3.7988,-1231.5262,1.1250,203.8938,-0.0434
3.8992,-1231.5258,1.1412,203.8981,-0.0714
4.0008,-1231.5030,1.1124,203.8888,-0.0696
4.1029,-1231.4739,1.1378,203.8597,-0.0562
4.2031,-1231.5175,1.1296,203.8669,-0.0619
4.3029,-1231.5328,1.1171,203.9279,-0.0684
4.4027,-1231.5269,1.1223,203.8848,-0.0466
4.5036,-1231.5223,1.1088,203.8575,-0.0365
4.6030,-1231.5188,1.1333,203.9097,-0.0747
4.7029,-1231.4978,1.1424,203.8933,-0.0911
4.8019,-1231.5263,1.1572,203.9264,-0.0608
4.9027,-1231.5166,1.1478,203.8726,-0.0359
5.0026,-1231.4928,1.1267,203.8984,-0.0394
5.1049,-1231.4921,1.1185,203.8937,-0.0463
5.2036,-1231.5026,1.1399,203.8899,-0.0488
5.3038,-1231.5038,1.1382,203.8912,-0.0782
5.4031,-1231.5062,1.1402,203.8826,-0.0482
5.5044,-1231.5142,1.1171,203.8920,-0.0688
5.6050,-1231.4756,1.1492,203.8750,-0.1094
5.7056,-1231.5208,1.1320,203.8402,-0.0568
5.8040,-1231.4606,1.0985,203.7803,-0.0036
5.9054,-1231.4080,1.0761,203.7119,0.0507
6.0051,-1231.4396,1.0781,203.7717,0.0117
6.1073,-1231.4729,1.0971,203.8369,-0.0125
6.2074,-1231.4902,1.1200,203.8379,-0.0376
6.3066,-1231.4660,1.1216,203.8463,-0.0389
6.4065,-1231.4716,1.1016,203.8425,-0.0396
6.5065,-1231.4127,1.0383,203.6810,0.1562
6.6068,-1231.2958,1.0128,203.4783,0.2591
6.7434,-1231.2546,0.9847,203.3787,0.3132
6.8070,-1231.2861,0.9603,203.4332,0.3064
6.9098,-1231.2888,0.9750,203.4484,0.2173
7.0064,-1231.3021,0.9767,203.4595,0.2281
7.1081,-1231.2770,0.9980,203.4478,0.2400
7.2071,-1231.2841,0.9622,203.4495,0.2716
7.3073,-1231.2639,0.9854,203.4082,0.2477
7.4092,-1231.2463,0.9395,203.3435,0.3191
7.5088,-1231.1750,0.8982,203.2018,0.4154
7.6080,-1231.0627,0.8566,203.0562,0.4939
7.7109,-1231.0929,0.8135,203.0657,0.5285
7.8089,-1231.0430,0.7637,202.9519,0.6050
7.9098,-1230.9674,0.7700,202.8965,0.6247
8.0102,-1230.9012,0.7042,202.7278,0.7515
8.1122,-1230.8033,0.6297,202.5715,0.8650
8.2093,-1230.7708,0.6165,202.4993,0.8775
8.3106,-1230.8475,0.6659,202.6002,0.8270
8.4112,-1230.8402,0.6585,202.6050,0.8250
8.5129,-1230.8268,0.6684,202.5138,0.9048
8.6106,-1230.7791,0.6236,202.4519,0.9658
8.7130,-1230.4033,0.3453,201.6604,1.5391
8.8116,-1230.1870,0.2037,201.2512,1.7803
8.9115,-1230.1257,0.1829,201.1814,1.7997
9.0121,-1230.5012,0.4530,201.9143,1.2948
9.1165,-1231.2711,0.9316,203.4343,0.2910
9.2136,-1231.4547,1.1132,203.8146,-0.0564
9.3136,-1231.4872,1.1036,203.8280,-0.0264
9.4131,-1231.4762,1.1045,203.8232,-0.0297
9.5137,-1231.5046,1.1050,203.8441,-0.0572
9.6142,-1231.4681,1.0953,203.8149,-0.0125
9.7152,-1231.4471,1.0903,203.7733,-0.0036
9.8147,-1231.4772,1.1076,203.8367,-0.0145
9.9156,-1231.4405,1.1001,203.7926,-0.0289
10.0158,-1231.4694,1.0845,203.8279,-0.0475
10.1167,-1231.4626,1.0903,203.8325,-0.0351
11.0574,-1231.3612,1.0350,203.6272,0.1051
11.4609,-1231.3677,1.0473,203.5894,0.1037
11.6076,-1231.3447,1.0056,203.4996,0.2081
11.6703,-1231.2303,0.9266,203.2928,0.3358
11.7317,-1231.2177,0.9237,203.2522,0.3500
11.8273,-1231.2086,0.9164,203.2675,0.3256
11.9236,-1231.2847,0.9516,203.4338,0.2516
12.0274,-1231.1543,0.8874,203.2322,0.3734
12.1257,-1230.7645,0.6067,202.4269,0.9240
12.2274,-1230.1495,0.1852,201.2166,1.7793
12.3264,-1232.1913,1.5782,205.2401,-0.9794
12.4237,-1228.7050,0.0305,198.3226,2.1378
12.5278,-1230.2922,0.3119,201.4939,1.5716
12.6295,-1230.5258,0.4383,201.9254,1.2910
12.7588,-1230.4525,0.3915,201.7843,1.4016
12.8344,-1230.0728,0.1391,201.0441,1.9063
12.9189,-1228.5677,-0.0233,198.0192,2.2443
13.0205,-1232.0953,1.5377,205.0997,-0.8907
13.1190,-1232.1494,1.5426,205.1321,-0.8809
13.2169,-1228.9268,0.1167,198.7134,1.9402
13.3194,-1230.2429,0.2690,201.3408,1.6811
13.4176,-1230.5952,0.5048,202.0532,1.2169
13.5208,-1230.7905,0.6717,202.4606,0.9077
13.6186,-1230.9013,0.6883,202.6798,0.8063
13.7212,-1230.8962,0.7428,202.7070,0.7773
13.8209,-1230.7279,0.5766,202.2917,1.0346
13.9225,-1230.4196,0.3925,201.7329,1.4461
14.0214,-1230.0980,0.1773,201.1239,1.8435
14.1215,-1229.9908,0.0865,200.8203,2.0815
14.2210,-1228.8359,0.1019,198.5748,1.9943
14.3216,-1230.0045,0.0967,200.8826,1.9848
14.4231,-1230.1456,0.1835,201.1740,1.8166
14.5253,-1230.1323,0.2128,201.1566,1.8114
14.6234,-1230.1533,0.2102,201.1804,1.8108
14.7246,-1230.2213,0.2293,201.3013,1.7457
14.8208,-1230.3450,0.3060,201.5277,1.5857
14.9239,-1230.5491,0.4485,201.9418,1.3318
15.0213,-1230.9136,0.7465,202.7278,0.7419
15.1238,-1231.2687,0.9394,203.3068,0.3821
15.2217,-1231.3488,1.0302,203.5875,0.1862
15.3333,-1231.4221,1.0695,203.7017,0.1066
15.4219,-1231.4365,1.0724,203.7190,0.0541
15.5266,-1231.3788,1.0719,203.6785,0.0601
15.6237,-1231.4650,1.1006,203.7659,0.0211
15.7629,-1231.4158,1.0715,203.6971,0.0667
15.8297,-1229.5090,0.9956,200.0337,-15.2766
15.9262,NaN,NaN,NaN,NaN
15.9638,NaN,NaN,NaN,NaN
