time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0003,-1233.1430,-9.5927,204.1263,1.0292
1.0777,-1233.1419,-9.5678,204.0817,0.9795
1.2106,-1233.3135,-9.0135,203.6327,-11.4835
1.3748,-1230.4117,-0.3560,184.8013,-85.0949
1.4222,-1228.0099,1.8137,177.3033,-99.5089
1.5040,-1227.9637,2.3033,177.0112,-99.9023
1.5847,-1227.9173,2.2403,177.0421,-99.8817
1.6816,-1227.8706,2.2192,177.0486,-99.8950
1.7892,-1227.8932,2.2204,177.0281,-99.9057
1.8824,-1227.9048,2.1968,177.0709,-99.8815
1.9837,-1227.8737,2.2028,177.0514,-99.8741
2.0823,-1227.8771,2.2028,177.0653,-99.8841
2.1843,-1227.8460,2.2030,177.0560,-99.8779
2.2827,-1227.8465,2.2117,177.0236,-99.8896
2.3824,-1227.9064,2.1888,177.0787,-99.8622
2.4824,-1227.8537,2.2252,177.0665,-99.8898
2.5831,-1227.9003,2.2109,177.0774,-99.8832
2.6844,-1227.8615,2.2182,177.0582,-99.9091
2.7852,-1227.8969,2.2156,177.0580,-99.8983
2.8832,-1227.9554,2.2060,177.1110,-99.8884
2.9853,-1227.8954,2.1944,177.0696,-99.8770
3.0846,-1227.9088,2.2132,177.0428,-99.8609
3.1864,-1227.8723,2.2207,177.0472,-99.8926
3.2856,-1227.8695,2.2148,177.0496,-99.8681
3.3888,-1227.9118,2.2023,177.0677,-99.8682
3.4865,-1227.8962,2.1978,177.0605,-99.8788
3.5856,-1227.8811,2.2099,177.0427,-99.8828
3.6872,-1227.8813,2.1844,177.0409,-99.8759
3.7871,-1227.8338,2.1973,177.0458,-99.8757
3.8856,-1227.8796,2.1733,177.0476,-99.8741
3.9876,-1227.1715,1.7692,177.3379,-99.5203
4.0875,-1225.2130,0.7315,177.8535,-98.5384
4.1876,-1221.8404,-1.4045,177.6349,-98.9600
4.2886,-1216.9840,-4.0760,177.4241,-99.2354
4.3879,-1212.0919,-6.9705,177.3158,-99.5731
4.4868,-1207.3779,-9.6811,177.0234,-99.9349
4.5896,-1201.9987,-12.6905,176.8560,-100.2578
4.6893,-1196.5746,-15.7594,176.6865,-100.7297
4.7927,-1191.2825,-19.0294,176.4874,-101.0865
4.8878,-1186.1082,-21.8728,176.2517,-101.2534
4.9873,-1180.3903,-25.0894,176.1370,-101.5266
5.0890,-1174.6312,-28.3593,175.8108,-102.0177
5.1909,-1169.0760,-31.7555,175.8320,-102.1145
5.2896,-1163.4860,-34.9571,175.6655,-102.4402
5.3897,-1157.7932,-38.3292,175.5043,-102.6999
5.4919,-1151.8965,-41.8654,175.2697,-103.0231
5.5915,-1146.1051,-45.4510,175.1179,-103.4279
5.6900,-1140.2443,-48.8731,174.8438,-103.8171
5.7908,-1134.0671,-52.4754,174.4651,-104.2502
5.8898,-1127.9390,-56.2614,174.3444,-104.6246
5.9916,-1120.5110,-59.8309,172.1580,-105.8900
6.0901,-1114.2208,-63.7832,171.9860,-106.1248
6.1929,-1107.9038,-67.7176,171.7834,-106.4261
