time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0005,-1230.4866,5.7347,204.1436,3.1878
1.9126,-1230.4556,5.7303,204.1198,3.2080
2.0489,-1231.9142,7.3496,204.3784,-34.2420
2.2113,-1228.5868,13.2927,188.1821,-77.8157
2.2485,-1226.0795,16.7152,178.8041,-96.7181
2.3055,-1220.1107,13.6717,178.3163,-97.6470
2.3722,-1211.4890,8.8307,177.9218,-98.2712
2.4807,-1202.8556,3.9541,177.8376,-98.6933
2.5744,-1194.0797,-0.9909,177.5630,-99.1178
2.6750,-1185.1701,-6.0891,177.1251,-99.8658
2.7741,-1176.4744,-11.1293,176.8143,-100.4589
2.8742,-1167.8723,-16.0222,176.4331,-101.0581
2.9756,-1159.2484,-20.8400,175.9471,-101.7649
3.0754,-1150.8140,-25.6860,175.6853,-102.3116
3.1763,-1142.5557,-30.4404,175.4207,-102.7038
3.2769,-1134.0876,-35.5347,175.3424,-103.0189
3.3754,-1125.3096,-40.7863,175.0278,-103.3421
3.4736,-1115.8502,-45.2766,172.6630,-104.9756
3.5760,-1107.2178,-50.5354,172.4670,-105.2728
3.6771,-1098.7657,-55.6852,172.3461,-105.5200
3.7760,-1089.7794,-60.9052,172.1617,-105.9140
3.8783,-1081.2963,-66.1559,171.8651,-106.4137
3.9774,-1073.1588,-71.3441,171.6225,-106.7367
4.0766,-1064.9300,-76.5293,171.2848,-107.1985
4.1786,-1056.7179,-81.8213,171.0157,-107.5885
4.2775,-1048.4874,-87.1387,170.8698,-107.8962
4.3776,-1040.0517,-92.5134,170.7225,-108.1840
4.4788,-1031.6087,-97.7948,170.4509,-108.7183
4.5984,-1022.9841,-103.0819,170.0894,-109.2050
4.6803,-1014.6460,-108.3726,169.7390,-109.5693
4.7813,-1006.0879,-113.9306,169.6191,-109.9852
4.8798,-997.8925,-119.4695,169.5145,-110.1322
4.9794,-989.3657,-124.8231,169.0297,-110.7919
5.0790,-980.9263,-130.1331,168.6212,-111.3839
5.1805,-972.7592,-135.3519,168.3046,-111.8796
5.2796,-964.6589,-140.6161,168.1335,-112.1627
5.3798,-956.4130,-146.1786,168.1482,-112.2974
5.4802,-948.2251,-151.6007,167.8796,-112.5800
5.5801,-940.0037,-156.9055,167.6007,-112.9127
5.6810,-931.2996,-162.5909,167.4283,-113.3762
5.7822,-922.3374,-168.4084,167.3953,-113.4337
5.8815,-913.6928,-174.2028,167.4080,-113.2081
5.9821,-905.7370,-179.7641,167.1837,-113.6335
6.0828,-897.9149,-185.1349,166.8794,-114.1171
6.1840,-889.5768,-190.7861,166.6649,-114.4963
6.2844,-880.9006,-196.6000,166.5387,-114.6459
6.3831,-872.5742,-202.3828,166.2756,-114.9561
6.4842,-864.6324,-208.1965,166.1476,-115.2332
6.5831,-856.4336,-213.7796,165.8863,-115.7541
