time[s], wr_x[mm], wr_y[mm], v[mm/s], x_heading, y_heading 
0.0001,-1231.6599,1.1311,204.1105,-0.0406
0.7168,-1231.6689,1.1588,204.1459,-0.0677
0.8396,-1231.6521,1.1264,204.1067,-0.0247
1.0017,-1231.6550,1.1395,204.0944,-0.0427
1.0405,-1231.6492,1.1256,204.1390,-0.0549
1.1059,-1231.6794,1.1347,204.1924,-0.0877
1.1606,-1231.6643,1.1201,204.1282,-0.0464
1.2593,-1231.6487,1.1309,204.1217,-0.0568
1.3603,-1231.6619,1.1426,204.1279,-0.0393
1.4605,-1231.6534,1.1606,204.1455,-0.0659
1.5612,-1231.6965,1.1368,204.1632,-0.0330
1.6622,-1231.6771,1.1499,204.1498,-0.0517
1.7612,-1231.6621,1.1369,204.1348,-0.0414
1.8609,-1231.6728,1.1193,204.1281,-0.0505
1.9631,-1231.6538,1.1329,204.1228,-0.0793
2.0618,-1231.6433,1.1037,204.1211,-0.0282
2.1626,-1231.6586,1.1344,204.1239,-0.0735
2.2619,-1231.6527,1.1289,204.0977,-0.0744
2.3641,-1231.6411,1.1434,204.1143,-0.0746
2.4625,-1231.6712,1.1580,204.1420,-0.0591
2.5616,-1231.6552,1.1470,204.1014,-0.0592
2.6631,-1231.7145,1.1476,204.1400,-0.0475
2.7633,-1231.7092,1.1344,204.1783,-0.0484
2.8646,-1231.6727,1.1246,204.1447,-0.0510
2.9666,-1231.6744,1.1347,204.1219,-0.0422
3.0632,-1231.6688,1.1427,204.1316,-0.0424
3.1642,-1231.6638,1.1411,204.1436,-0.0338
3.2634,-1231.6608,1.1196,204.1154,-0.0564
3.3638,-1231.6589,1.1180,204.1136,-0.0469
3.4638,-1231.6489,1.1291,204.1014,-0.0575
3.5644,-1231.6871,1.1217,204.1511,-0.0533
3.6681,-1231.6517,1.1283,204.1119,-0.0510
3.7665,-1231.6756,1.1430,204.1198,-0.0509
3.8672,-1231.6595,1.1213,204.1083,-0.0449
3.9655,-1231.6644,1.1566,204.1024,-0.0560
4.0669,-1231.6392,1.1250,204.0883,-0.0441
4.1670,-1231.6542,1.1244,204.1101,-0.0512
4.2662,-1231.6762,1.1526,204.0956,-0.0438
4.3666,-1231.6932,1.1155,204.1465,-0.0118
4.4670,-1231.6782,1.1568,204.1324,-0.0643
4.5662,-1231.6693,1.1555,204.1104,-0.0390
4.6682,-1231.6884,1.1489,204.1401,-0.0422
4.7690,-1231.6944,1.1367,204.1410,-0.0142
4.8687,-1231.6602,1.1672,204.1265,-0.0404
4.9682,-1231.6582,1.1639,204.0947,-0.0504
5.0692,-1231.5641,1.2120,204.4019,0.0861
5.1701,-1231.5364,1.2150,204.3196,0.0796
5.2690,-1231.6619,1.1196,204.1094,-0.0406
5.3680,-1231.6801,1.1299,204.1102,-0.0074
5.4680,-1231.4365,1.2466,204.5138,0.1739
5.5695,-1231.6639,1.1233,204.0978,-0.0631
5.6711,-1231.6743,1.1197,204.0970,-0.0396
5.7712,-1231.6519,1.1446,204.0803,-0.0466
5.8697,-1231.6515,1.1263,204.0913,-0.0278
5.9689,-1231.6996,1.1101,204.1064,-0.0313
6.0699,-1231.6955,1.1304,204.1136,-0.0080
6.1714,-1231.6722,1.1419,204.1166,-0.0416
6.2704,-1231.6519,1.1252,204.1201,-0.0748
6.3704,-1231.6680,1.1196,204.1090,-0.0463
6.4710,-1231.6850,1.1425,204.1356,-0.0434
6.5705,-1231.6634,1.1540,204.1351,-0.0529
6.6753,-1231.6734,1.1352,204.1552,-0.0262
6.7732,-1231.6625,1.1452,204.1371,-0.0454
6.8728,-1231.6795,1.1671,204.1407,-0.0544
6.9717,-1231.7039,1.1493,204.1354,-0.0480
7.0735,-1231.6852,1.1467,204.1073,-0.0214
7.1743,-1231.6256,1.1344,204.0957,-0.0695
7.2727,-1231.6802,1.1387,204.0892,-0.0220
7.3710,-1231.6670,1.1573,204.1208,-0.0190
7.4723,-1231.6633,1.1386,204.1267,-0.0467
7.5729,-1231.6941,1.1331,204.1418,-0.0361
7.6729,-1231.6439,1.1544,204.1141,-0.0488
7.7742,-1231.6699,1.1353,204.1217,-0.0218
7.8752,-1231.6630,1.1442,204.1523,-0.0474
7.9741,-1231.6774,1.1614,204.1432,-0.0517
8.0747,-1231.6650,1.1224,204.1556,-0.0297
8.1782,-1231.6475,1.1435,204.1379,-0.0691
8.2758,-1231.6509,1.1314,204.1384,-0.0311
8.3750,-1231.6592,1.1527,204.1410,-0.0038
