time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0003,-1251.7332,-10.0113,204.1604,6.4248
0.7586,-1251.7548,-9.9819,204.1650,6.4350
0.8906,-1251.7715,-9.9967,204.1589,6.4317
1.0544,-1251.7531,-10.0091,204.1405,6.4151
1.0931,-1251.7845,-9.9979,204.1603,6.4288
1.1535,-1251.7628,-9.9832,204.1338,6.4442
1.2046,-1251.7443,-9.9809,204.1526,6.3817
1.3051,-1251.7809,-10.0005,204.1533,6.4207
1.4059,-1251.7701,-9.9925,204.1356,6.4286
1.5076,-1251.7598,-10.0009,204.1630,6.4154
1.6085,-1251.7502,-10.0097,204.1460,6.4301
1.7084,-1251.7466,-9.9919,204.1339,6.4396
1.8072,-1251.7462,-9.9921,204.1953,6.4363
1.9093,-1251.7697,-9.9850,204.1818,6.4146
2.0068,-1251.7678,-10.0057,204.1750,6.4801
2.1097,-1251.7276,-10.0140,204.1190,6.4397
2.2094,-1251.7318,-9.9914,204.1487,6.4251
2.3102,-1251.7482,-9.9945,204.1696,6.4066
2.4090,-1251.7776,-9.9780,204.1830,6.4317
2.5090,-1251.7628,-9.9951,204.2017,6.4439
2.6099,-1251.7234,-10.0128,204.1450,6.4260
2.7094,-1251.7368,-9.9698,204.1200,6.4118
2.8093,-1251.7621,-9.9866,204.1460,6.4178
2.9110,-1251.7765,-9.9971,204.0999,6.4428
3.0103,-1251.7162,-10.0362,204.1005,6.4598
3.1115,-1251.7402,-9.9696,204.1443,6.4143
3.2104,-1251.7578,-9.9638,204.1219,6.4030
3.3120,-1251.7347,-9.9984,204.1581,6.4371
3.4108,-1251.7693,-9.9951,204.1765,6.4411
3.5119,-1251.7670,-10.0017,204.1423,6.4424
3.6122,-1251.7302,-10.0113,204.1566,6.4171
3.7140,-1251.7418,-9.9865,204.1533,6.4128
3.8132,-1251.7269,-9.9931,204.1250,6.4156
3.9126,-1251.7707,-10.0167,204.1569,6.4152
4.0123,-1251.7594,-10.0105,204.1462,6.4338
4.1154,-1251.7704,-10.0031,204.1625,6.4459
4.2144,-1251.7611,-10.0049,204.1362,6.4361
4.3139,-1251.7499,-9.9910,204.1613,6.4074
4.4132,-1251.7650,-10.0111,204.1729,6.4184
4.5138,-1251.7740,-9.9801,204.1530,6.4080
4.6149,-1251.7428,-9.9919,204.1179,6.4484
4.7153,-1251.7444,-9.9844,204.1204,6.4449
4.8142,-1251.7488,-9.9790,204.1422,6.4306
4.9149,-1251.7724,-9.9907,204.1681,6.4479
5.0163,-1251.7633,-9.9817,204.1541,6.4372
5.1166,-1251.7543,-9.9859,204.1534,6.4342
5.2148,-1251.7410,-9.9798,204.1243,6.4146
5.3160,-1251.7817,-9.9796,204.2021,6.4309
5.4132,-1251.7838,-9.9926,204.1801,6.4204
5.5155,-1251.7896,-9.9874,204.1454,6.4253
5.6155,-1251.7655,-9.9895,204.1450,6.4156
5.7156,-1251.7839,-10.0032,204.1173,6.4303
5.8161,-1251.7836,-9.9924,204.1569,6.3985
5.9171,-1251.7665,-9.9953,204.1166,6.4183
6.0167,-1251.7704,-9.9978,204.1260,6.4280
6.1188,-1251.7530,-9.9986,204.1512,6.4112
6.2190,-1251.7541,-10.0121,204.1410,6.4297
6.3180,-1251.7517,-10.0077,204.1816,6.4218
6.4184,-1251.7563,-9.9999,204.1479,6.4444
6.5185,-1251.7378,-9.9754,204.1624,6.4218
6.6178,-1251.7370,-9.9846,204.1761,6.4094
6.7182,-1251.7583,-9.9857,204.1711,6.4323
6.8183,-1251.7344,-9.9761,204.1732,6.4148
6.9191,-1251.6844,-10.0650,203.9764,6.5575
7.0185,-1252.4951,-9.5736,205.6251,5.5664
7.1208,-1252.4652,-9.5875,205.6016,5.5879
7.2195,-1252.5180,-9.5521,205.6442,5.5600
7.3194,-1252.5037,-9.5644,205.6117,5.6040
7.4201,-1252.4935,-9.5652,205.6344,5.5597
7.5204,-1252.5425,-9.5307,205.6951,5.5035
7.6205,-1252.4902,-9.5433,205.6405,5.5462
7.7212,-1252.5042,-9.5591,205.6620,5.5847
7.8212,-1252.5251,-9.5282,205.6841,5.5550
7.9219,-1252.4879,-9.5484,205.6786,5.5362
8.0208,-1252.5104,-9.5387,205.7113,5.5021
8.1229,-1252.4567,-9.5357,205.5939,5.5904
8.2218,-1252.4984,-9.5852,205.6382,5.5975
8.3235,-1252.5128,-9.5464,205.6996,5.5725
8.4230,-1252.5019,-9.5479,205.6871,5.5644
8.5230,-1252.5095,-9.5866,205.6854,5.5971
8.6228,-1252.4583,-9.5848,205.6357,5.6153
8.7228,-1249.1697,-10.8952,198.9707,8.2697
8.8252,-1250.9745,-10.4716,202.6166,7.3866
8.9239,-1251.6700,-10.0571,204.0013,6.5482
9.0244,-1251.6797,-10.0417,203.9845,6.5201
9.1259,-1251.6474,-10.0325,203.9818,6.5632
9.2243,-1251.6255,-10.0565,203.8933,6.5930
9.3243,-1251.7370,-9.9937,204.1102,6.4850
9.4241,-1251.7574,-9.9724,204.1823,6.4522
9.5269,-1251.7812,-9.9769,204.2070,6.4621
9.6256,-1251.7603,-9.9810,204.2219,6.4472
9.7247,NaN,NaN,NaN,NaN
9.7848,NaN,NaN,NaN,NaN
9.8750,NaN,NaN,NaN,NaN
9.9739,NaN,NaN,NaN,NaN
10.0745,NaN,NaN,NaN,NaN
