time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0003,-1252.6006,-9.6859,205.5952,5.1735
0.9121,-1252.5951,-9.7030,205.6094,5.1887
1.0439,-1252.5614,-9.6892,205.5886,5.1865
1.2046,-1252.5695,-9.7215,205.5543,5.2191
1.2429,-1252.5499,-9.7279,205.5558,5.2147
1.3533,-1252.5792,-9.7156,205.5449,5.1903
1.4217,-1252.5755,-9.6771,205.5968,5.1709
1.5242,-1252.5731,-9.6899,205.6199,5.1818
1.6263,-1252.5764,-9.7125,205.6127,5.1972
1.7247,-1252.6025,-9.7111,205.6488,5.1974
1.8241,-1252.6030,-9.6751,205.6752,5.1754
1.9263,-1252.5670,-9.6923,205.6240,5.2014
2.0251,-1252.5428,-9.7201,205.6018,5.2130
2.1261,-1252.5688,-9.7246,205.6007,5.2119
2.2257,-1252.5505,-9.7150,205.5641,5.2093
2.3469,-1252.5864,-9.7129,205.5813,5.1731
2.4254,-1252.5691,-9.6898,205.6052,5.1680
2.5257,-1252.5397,-9.7241,205.5309,5.1964
2.6276,-1252.5734,-9.7123,205.5562,5.2044
2.7257,-1252.6267,-9.6595,205.6719,5.1426
2.8260,-1252.6290,-9.6871,205.6154,5.1777
2.9260,-1252.5481,-9.7171,205.5498,5.2103
3.0267,-1252.5335,-9.7194,205.5487,5.2201
3.1278,-1252.5969,-9.7146,205.5861,5.2083
3.2268,-1252.5692,-9.7063,205.5872,5.1979
3.3278,-1252.5776,-9.6950,205.6029,5.1959
3.4313,-1252.5391,-9.7136,205.5699,5.2070
3.5282,-1252.5598,-9.7137,205.5603,5.2198
3.6302,-1252.5984,-9.6973,205.6062,5.1924
3.7294,-1252.6054,-9.6709,205.6324,5.1942
3.8260,-1252.5602,-9.7085,205.5543,5.2179
3.9290,-1252.5749,-9.7129,205.5870,5.2058
4.0303,-1252.5684,-9.7059,205.6117,5.1804
4.1303,-1252.5897,-9.7043,205.5916,5.1956
4.2271,-1252.5717,-9.7320,205.5946,5.1951
4.3294,-1252.5718,-9.7101,205.5989,5.1976
4.4298,-1252.5967,-9.6917,205.6157,5.1801
4.5296,-1252.5970,-9.7111,205.6215,5.2153
4.6279,-1252.6195,-9.6831,205.6248,5.1941
4.7300,-1252.5842,-9.6807,205.6001,5.1576
4.8275,-1252.5468,-9.7267,205.5205,5.2083
4.9318,-1252.5779,-9.7171,205.5619,5.2026
5.0320,-1252.5823,-9.7037,205.5989,5.1928
5.1324,-1252.5681,-9.7145,205.5477,5.2052
5.2308,-1252.5845,-9.7290,205.5820,5.2235
5.3600,-1252.5576,-9.7260,205.5344,5.2096
5.4341,-1252.6149,-9.7047,205.6464,5.1994
5.5317,-1252.6044,-9.7008,205.6167,5.1993
5.6328,-1252.6013,-9.7025,205.5964,5.1971
5.7327,-1252.6008,-9.7068,205.5859,5.1956
5.8345,-1252.5864,-9.7315,205.5707,5.2124
5.9346,-1252.5509,-9.7341,205.5586,5.2241
6.0340,-1252.5893,-9.7218,205.5917,5.1983
6.1353,-1252.5535,-9.7416,205.5494,5.2222
6.2314,-1252.5866,-9.7305,205.5800,5.2080
6.3341,-1252.5703,-9.7318,205.5690,5.2090
6.4391,-1252.6156,-9.6475,205.6321,5.1679
6.5361,-1252.6074,-9.6766,205.6290,5.1753
6.6345,-1252.5773,-9.7180,205.5518,5.2121
6.7348,-1252.5746,-9.7089,205.5953,5.1876
6.8350,-1252.5659,-9.7383,205.5607,5.2213
6.9355,-1252.5658,-9.7153,205.5806,5.2016
7.0355,-1252.5900,-9.7100,205.6249,5.1889
7.1382,-1252.5926,-9.7165,205.6115,5.2117
7.2369,-1252.5880,-9.7008,205.6177,5.1862
7.3355,-1252.6060,-9.6954,205.6106,5.1856
7.4364,-1252.6221,-9.6750,205.6616,5.1792
7.5367,-1252.5732,-9.6993,205.6042,5.1833
7.6375,-1252.5811,-9.7322,205.5774,5.2263
7.7376,-1252.5720,-9.7136,205.5945,5.2037
7.8371,-1252.5895,-9.7135,205.5881,5.1923
7.9373,-1252.5414,-9.7262,205.5480,5.2165
8.0395,-1252.5693,-9.7161,205.5944,5.2147
8.1427,-1252.6079,-9.6858,205.6157,5.2038
8.2403,-1252.5695,-9.6941,205.6096,5.2062
8.3644,-1252.5617,-9.7167,205.5980,5.2247
8.4430,-1252.5883,-9.7054,205.6021,5.1993
8.5395,-1252.5480,-9.7147,205.5939,5.1813
8.6391,-1252.5409,-9.7441,205.5298,5.2141
8.7400,-1252.5668,-9.7247,205.5802,5.2026
8.8403,-1252.5388,-9.7010,205.5393,5.1888
8.9404,-1252.5596,-9.7142,205.5721,5.2116
9.0402,-1252.6076,-9.7063,205.6200,5.1820
9.1430,-1252.5863,-9.7176,205.5942,5.2163
9.2414,-1252.6291,-9.7102,205.6241,5.1896
9.3401,-1252.5579,-9.7212,205.5510,5.2188
9.4476,-1252.6105,-9.7031,205.5839,5.2028
9.5421,-1252.5366,-9.7336,205.5835,5.2079
9.6417,-1252.5485,-9.7230,205.5398,5.1974
9.7427,-1252.6124,-9.6900,205.6727,5.1831
9.8409,-1252.5606,-9.7007,205.6219,5.1766
9.9431,-1252.5931,-9.7269,205.6099,5.2192
10.0427,-1252.5810,-9.7048,205.6503,5.1806
10.1446,-1252.5480,-9.7252,205.5651,5.2019
10.2456,-1252.5726,-9.7503,205.5715,5.2063
10.3462,-1252.6066,-9.7071,205.6406,5.1826
10.4468,-1252.5923,-9.7165,205.5688,5.2058
10.5408,-1252.5899,-9.7101,205.6061,5.1938
10.6436,-1252.5698,-9.7169,205.5594,5.2102
10.7470,-1252.5851,-9.7077,205.5778,5.2091
10.8460,-1252.5814,-9.7215,205.5701,5.2039
10.9469,-1252.5457,-9.7367,205.5406,5.2229
11.0456,-1252.6298,-9.7061,205.6475,5.1748
11.1438,-1252.5491,-9.7488,205.5205,5.2408
11.2450,-1252.5569,-9.7198,205.5607,5.1933
11.3657,-1252.5648,-9.7311,205.5936,5.1910
11.4556,-1251.6584,-10.0641,203.9115,6.6040
11.5456,-1251.7562,-9.9915,204.1858,6.4256
11.6489,-1251.7576,-9.9958,204.1355,6.4371
11.7475,-1251.7523,-9.9949,204.1555,6.4279
12.7528,-1251.7799,-9.9899,204.1685,6.4306
13.1543,-1251.7835,-9.9982,204.1757,6.4424
13.2281,-1251.7867,-10.0038,204.1768,6.4382
13.3919,-1251.7637,-9.9810,204.1774,6.4200
13.5004,-1251.8044,-9.9925,204.1854,6.4540
13.6110,-1251.7719,-9.9826,204.1799,6.4029
13.6690,-1251.7653,-9.9935,204.1558,6.4371
13.7457,-1251.7690,-9.9900,204.1724,6.4364
13.8483,-1251.7261,-10.0045,204.1763,6.4255
13.9475,-1251.7379,-9.9966,204.1570,6.4275
14.0493,-1251.7491,-9.9799,204.1530,6.4557
14.1510,-1251.7596,-9.9924,204.2064,6.4373
14.2473,-1251.7468,-9.9969,204.1803,6.4543
14.3803,-1251.7386,-9.9919,204.1803,6.4402
14.4488,-1251.7742,-9.9937,204.1808,6.4454
14.5496,-1251.7689,-9.9621,204.1613,6.4612
14.6499,-1251.7847,-9.9925,204.1991,6.4510
14.7510,-1251.7960,-9.9815,204.2218,6.4438
14.8544,-1251.7703,-9.9703,204.2068,6.4355
14.9516,-1251.7866,-9.9609,204.1919,6.4319
