time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0001,689.5183,-492.0620,137.4861,148.7441
1.8354,689.3997,-492.2261,137.5193,148.7518
1.9694,689.4402,-492.1926,137.5137,148.7150
2.1350,689.5121,-492.1178,137.4926,148.7446
2.1765,689.5037,-492.1426,137.4999,148.7300
2.2841,689.5557,-492.0819,137.4868,148.7371
2.3344,689.4466,-492.2133,137.5262,148.7348
2.3778,689.4157,-492.2214,137.5284,148.7327
2.4783,689.5277,-492.1288,137.5169,148.7163
2.5784,689.5053,-492.1451,137.5023,148.7245
2.6801,689.5381,-492.0823,137.5061,148.7119
2.7790,689.5598,-492.0788,137.4772,148.7262
2.8789,689.4700,-492.2019,137.4976,148.7451
2.9793,689.4928,-492.1423,137.4997,148.7271
3.0789,689.4487,-492.1656,137.4977,148.7457
3.1797,689.4954,-492.1597,137.4982,148.7234
3.2810,689.5545,-492.0613,137.4930,148.7160
3.3807,689.5258,-492.1036,137.5007,148.7308
3.4824,689.4438,-492.1401,137.6372,148.8356
3.5802,689.4371,-492.1603,137.5104,148.7414
3.6810,689.3334,-492.2669,137.5568,148.7673
3.7803,689.4355,-492.1869,137.3887,148.6560
3.8800,689.5099,-492.1324,137.4974,148.7192
3.9808,689.5137,-492.1166,137.4841,148.7334
4.0811,689.4975,-492.1417,137.4995,148.7222
4.1824,689.4572,-492.1836,137.5022,148.7271
4.2787,689.4803,-492.1415,137.5022,148.7299
4.3823,689.5381,-492.1145,137.5100,148.7114
4.4869,689.4496,-492.2146,137.5145,148.7402
4.5822,689.6119,-492.0103,137.5101,148.7274
4.6859,689.5794,-492.0730,137.4984,148.7296
4.7830,689.5181,-492.1329,137.5043,148.7399
4.8837,689.4998,-492.1370,137.5009,148.7253
4.9835,689.4795,-492.1428,137.5225,148.7274
5.0849,689.4544,-492.1677,137.4911,148.7419
5.1849,689.5198,-492.0978,137.5056,148.7061
5.2860,689.3175,-492.2004,137.9795,148.8733
5.3844,689.5378,-492.1560,137.4871,148.7054
5.4861,689.5733,-492.1089,137.4727,148.7188
5.5868,689.5748,-492.0963,137.4830,148.7286
5.6862,689.5205,-492.1391,137.4918,148.7114
5.7851,689.5755,-492.1108,137.4941,148.7226
5.8857,689.5584,-492.1513,137.4889,148.7062
5.9859,689.5952,-492.1248,137.5043,148.7227
6.0859,689.5694,-492.1385,137.4933,148.7342
6.1868,689.6082,-492.0568,137.4924,148.6919
6.2928,689.5740,-492.1095,137.4899,148.7118
6.3859,689.5290,-492.1874,137.5024,148.7271
6.4875,689.5897,-492.1145,137.4984,148.6892
6.5882,689.5774,-492.1393,137.4827,148.7278
6.6865,689.4421,-492.2796,137.4958,148.7215
6.7887,689.5139,-492.1821,137.5052,148.7069
6.8875,689.3887,-492.3334,137.4844,148.7000
6.9872,689.4864,-492.1888,137.4814,148.7307
7.0877,689.5172,-492.1855,137.4973,148.7155
7.1888,689.5431,-492.1524,137.4993,148.7234
7.2874,689.5801,-492.0650,137.4702,148.7247
7.3877,689.6350,-492.0270,137.4914,148.7157
7.4880,689.5961,-492.0611,137.4879,148.7129
7.5881,689.5851,-492.0573,137.4952,148.7202
7.6894,689.6139,-492.0527,137.4901,148.7157
7.7882,689.5810,-492.1193,137.5099,148.7053
7.8890,689.5544,-492.1295,137.3596,148.6531
7.9901,689.4708,-492.2090,137.4022,148.6413
8.0901,689.4628,-492.1867,137.3164,148.6557
8.1911,689.5146,-492.1559,137.4592,148.7084
8.3032,689.4539,-492.1888,137.4302,148.7284
8.3938,689.5610,-492.0938,137.4136,148.7241
8.4927,689.5222,-492.1679,137.4649,148.7177
8.5919,689.5361,-492.1274,137.4448,148.7276
8.6937,689.5822,-492.0762,137.4407,148.6928
8.7916,689.4739,-492.2128,137.4698,148.7306
8.8920,689.5547,-492.0965,137.4114,148.7130
8.9915,689.4938,-492.1781,137.4386,148.7242
9.0917,689.4845,-492.2005,137.4592,148.7181
9.1938,689.5116,-492.1682,137.4439,148.7193
9.2928,689.5236,-492.1243,137.4437,148.7207
9.3934,689.4879,-492.1480,137.4453,148.7257
9.4947,689.5620,-492.0645,137.3990,148.7010
9.5947,689.5375,-492.1209,137.4341,148.7086
9.6953,689.5137,-492.1324,137.4359,148.7172
9.7958,689.5120,-492.1317,137.4485,148.7299
9.8974,689.5019,-492.1597,137.4291,148.7076
9.9954,689.5228,-492.1375,137.4337,148.7061
10.0941,689.5606,-492.1061,137.4189,148.6898
10.1960,689.5619,-492.1043,137.4441,148.7017
10.2957,689.5631,-492.0969,137.4222,148.7328
10.3959,689.5303,-492.1587,137.4374,148.7158
10.4955,689.4442,-492.2352,137.4502,148.7329
10.5951,689.5235,-492.1508,137.4427,148.7153
10.6984,689.4306,-492.2243,137.3206,148.6274
10.8003,689.5146,-492.1341,137.3243,148.6708
10.9005,689.6176,-492.0587,137.4038,148.6504
10.9968,689.5962,-492.0709,137.4794,148.6987
11.0962,689.6331,-492.0589,137.4871,148.7130
11.1980,689.5912,-492.1056,137.4839,148.7068
11.3131,689.4785,-492.2274,137.5007,148.7231
11.3966,689.4832,-492.2203,137.5272,148.7275
11.4966,689.4305,-492.2528,137.4806,148.7203
11.5981,689.4897,-492.1810,137.4752,148.7244
11.6976,689.5255,-492.1578,137.4814,148.6990
11.7984,689.5109,-492.1800,137.5071,148.7313
11.8988,689.5791,-492.0910,137.4791,148.7310
11.9997,689.5656,-492.1288,137.4795,148.7228
12.0994,689.5560,-492.1357,137.4674,148.7420
12.2007,689.6607,-492.0471,137.4859,148.7133
12.3001,689.5743,-492.1206,137.4852,148.7055
12.4005,689.5663,-492.1198,137.4987,148.7272
12.5016,689.6083,-492.0935,137.4930,148.6924
12.5997,689.5236,-492.1872,137.4762,148.7190
12.6992,689.6396,-492.0321,137.4658,148.7154
12.7997,689.6381,-492.0255,137.4796,148.6994
12.8997,689.6384,-492.0480,137.4857,148.7066
13.0063,689.6594,-492.0367,137.4979,148.6995
13.1020,689.5701,-492.1255,137.5010,148.7237
13.2005,689.5200,-492.1576,137.4991,148.7218
13.3003,689.5197,-492.1330,137.5360,148.7098
13.4020,689.5209,-492.1641,137.4825,148.7300
13.5031,689.5979,-492.0637,137.4902,148.7121
13.6059,689.6052,-492.0737,137.4781,148.6948
13.7040,689.4677,-492.1459,137.5057,148.7231
13.8033,689.5997,-492.0151,137.3425,148.6746
13.9043,689.5774,-492.0467,137.4302,148.7162
14.0042,689.5565,-492.0950,137.4158,148.7003
14.1046,689.5701,-492.0873,137.4132,148.6917
14.2034,689.5114,-492.1634,137.4415,148.7088
14.3123,689.5786,-492.0667,137.4240,148.7015
14.4040,689.5510,-492.1087,137.4550,148.7027
14.5041,689.4870,-492.1909,137.4426,148.7161
14.6051,689.5024,-492.1297,137.4373,148.7205
14.7127,689.5263,-492.1306,137.4168,148.7175
14.8067,689.4456,-492.2188,137.4448,148.7493
14.9033,689.5859,-492.0544,137.4301,148.7088
15.0048,689.5237,-492.1232,137.4659,148.7270
15.1110,689.5227,-492.1189,137.4333,148.7396
15.2065,689.5148,-492.1334,137.4200,148.7204
15.3035,689.4690,-492.1746,137.4459,148.7219
15.4058,689.5056,-492.1332,137.4365,148.7181
15.5060,689.4558,-492.2078,137.4526,148.7313
15.6043,689.4944,-492.1530,137.4285,148.7303
15.7062,689.5557,-492.0905,137.4279,148.7068
15.8064,689.5786,-492.0774,137.4188,148.7132
15.9069,689.5252,-492.1405,137.4646,148.7179
16.0058,689.5238,-492.1428,137.4438,148.7289
16.1095,689.4478,-492.2238,137.4432,148.7112
16.2073,689.4848,-492.1515,137.4182,148.7215
16.3078,689.6430,-492.0760,137.1128,148.4668
16.4058,689.7023,-492.0220,137.0262,148.3875
16.5085,689.7399,-491.9434,137.0402,148.4090
16.6108,689.6738,-492.0277,137.1667,148.4862
16.7080,689.6058,-492.0805,137.2275,148.5271
16.8089,689.6487,-492.0083,137.2563,148.5441
16.9077,689.6054,-492.0524,137.2536,148.5651
17.0084,689.6169,-492.0201,137.2206,148.5162
17.1089,689.6484,-492.0068,137.1731,148.4759
17.2078,689.6653,-491.9934,137.1265,148.4474
17.3107,689.7418,-491.9333,137.0513,148.4069
17.4089,689.7491,-491.9335,137.0162,148.3656
17.5087,689.7718,-491.9220,136.9910,148.3508
17.6109,689.7728,-491.9126,136.9742,148.3419
17.7102,689.7146,-492.0037,136.9782,148.3726
17.8099,689.7343,-491.9656,137.0123,148.4051
17.9171,689.6528,-492.0596,137.0266,148.4229
18.0102,689.7037,-491.9792,137.0256,148.4207
18.1125,689.7008,-492.0042,137.0275,148.3991
18.2100,689.7541,-491.9427,137.0092,148.3768
18.3105,689.7601,-491.9476,136.9858,148.3618
18.4122,689.6639,-492.0360,136.9980,148.3865
18.5132,689.7056,-491.9833,136.9999,148.3477
18.6138,689.6548,-492.0567,137.0273,148.3745
18.7135,689.6717,-492.0336,137.0909,148.4141
18.8116,689.6277,-492.0563,137.1050,148.4416
18.9118,689.7009,-491.9545,137.0493,148.4244
19.0118,689.7365,-491.9682,137.0430,148.4034
19.1123,689.6189,-492.0219,137.4277,148.6807
19.2144,689.5953,-492.0731,137.4248,148.6851
19.3138,689.6077,-492.0813,137.4130,148.6898
19.4137,689.5710,-492.1151,137.4156,148.6910
19.5133,689.5873,-492.0665,137.4226,148.7060
19.6131,689.4980,-492.1824,137.3273,148.6406
19.7143,689.4691,-492.2842,137.7496,149.2801
19.8141,689.5798,-492.1118,137.4903,148.7054
19.9150,689.5584,-492.1191,137.4726,148.7168
20.0138,689.5768,-492.1140,137.4969,148.7170
20.1174,689.5453,-492.1401,137.4865,148.7324
20.2164,689.5589,-492.1173,137.5041,148.7324
20.3196,689.5398,-492.1414,137.5022,148.7290
20.4171,689.5099,-492.1707,137.4949,148.7487
20.5159,689.5622,-492.1453,137.5087,148.7309
