time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0005,-1259.5351,20.3596,203.5123,8.0847
0.8760,-1259.5596,20.3745,203.5380,8.0954
1.0074,-1259.5607,20.3490,203.5487,8.0800
1.1736,-1259.5175,20.3699,203.5007,8.0905
1.2104,-1259.5161,20.3751,203.5094,8.0903
1.3109,-1259.5541,20.3665,203.5549,8.0688
1.3791,-1259.5396,20.3497,203.5385,8.1012
1.4799,-1259.5423,20.3540,203.5421,8.0747
1.5813,-1259.5353,20.3795,203.5457,8.0800
1.6820,-1259.5590,20.3666,203.5552,8.0669
1.7821,-1259.5615,20.3719,203.5343,8.0902
1.8816,-1259.5472,20.3528,203.5453,8.1078
1.9823,-1259.5762,20.3669,203.5431,8.0920
2.0833,-1259.5536,20.3869,203.5836,8.0756
2.1830,-1259.5507,20.3654,203.5499,8.0879
2.2857,-1259.5732,20.3625,203.5800,8.0868
2.3822,-1259.5601,20.3740,203.5591,8.0950
2.4859,-1259.5742,20.3836,203.5309,8.1141
2.5842,-1259.5620,20.3783,203.5614,8.0929
2.6848,-1259.5652,20.3700,203.5150,8.1077
2.7830,-1259.5653,20.3668,203.4739,8.0996
2.8835,-1259.5331,20.3723,203.5074,8.1070
2.9836,-1259.5669,20.3735,203.5393,8.0808
3.0848,-1259.5583,20.3683,203.4821,8.1133
3.1856,-1259.5346,20.3597,203.5016,8.1063
3.2843,-1259.5762,20.3662,203.5458,8.1043
3.3861,-1259.5565,20.3619,203.5604,8.0815
3.4867,-1259.5569,20.3697,203.5127,8.0821
3.5857,-1259.5441,20.3587,203.5162,8.0834
3.6860,-1259.5206,20.3644,203.4944,8.0796
3.7850,-1259.5858,20.3467,203.5619,8.1016
3.8852,-1259.5423,20.3589,203.5363,8.0950
3.9858,-1259.5389,20.3734,203.5326,8.0784
4.0869,-1259.5521,20.3573,203.5002,8.0806
4.1874,-1259.5753,20.3682,203.5312,8.0733
4.2872,-1259.5677,20.3701,203.5380,8.0979
4.3877,-1259.5738,20.3756,203.5785,8.0892
4.4874,-1259.5568,20.3731,203.5902,8.0836
4.5882,-1259.5709,20.3691,203.5564,8.1101
4.6889,-1259.5734,20.3399,203.5559,8.0843
4.7876,-1259.5666,20.3649,203.5460,8.0768
4.8877,-1259.5568,20.3631,203.5597,8.0838
4.9901,-1259.5358,20.3632,203.5576,8.0830
5.0885,-1259.5635,20.3739,203.5302,8.0942
5.1918,-1259.5582,20.3519,203.5336,8.1279
5.2887,-1259.5379,20.3556,203.4979,8.0737
5.3887,-1259.5406,20.3475,203.4869,8.0918
5.4891,-1259.5482,20.3629,203.4963,8.1132
5.5889,-1259.5513,20.3609,203.5632,8.0714
5.6913,-1259.5456,20.3477,203.5426,8.1084
5.7912,-1259.5462,20.3835,203.5077,8.0767
5.8910,-1259.5622,20.3828,203.5387,8.1014
5.9899,-1259.5626,20.3617,203.5731,8.0953
6.0918,-1259.5701,20.3636,203.5580,8.0992
6.1921,-1259.5372,20.3512,203.5684,8.0801
6.2912,-1259.5598,20.3701,203.5536,8.0739
6.3931,-1259.5536,20.3624,203.5442,8.0820
6.4920,-1259.5583,20.3616,203.5227,8.1016
6.5912,-1259.5601,20.3731,203.5209,8.0815
6.6917,-1259.5594,20.3773,203.5282,8.0792
6.7916,-1259.5848,20.3788,203.5400,8.0845
6.8939,-1259.5705,20.3676,203.5411,8.0960
6.9927,-1259.5866,20.3803,203.5453,8.0906
7.0908,-1259.5774,20.3778,203.5244,8.1026
7.1950,-1259.5508,20.3706,203.5657,8.0857
7.2952,-1259.5368,20.3503,203.4725,8.0969
7.3940,-1259.5425,20.3277,203.5592,8.1139
7.4940,-1259.5314,20.3493,203.5416,8.0648
7.5939,-1259.5571,20.3545,203.5475,8.0879
7.6937,-1259.5568,20.3662,203.5291,8.0864
7.7941,-1259.5511,20.3685,203.4862,8.0920
7.8945,-1259.5894,20.3525,203.5664,8.0917
7.9967,-1259.5597,20.3552,203.4792,8.0871
8.0976,-1259.5673,20.3667,203.5168,8.0905
8.1980,-1259.5544,20.3674,203.5203,8.0914
8.2987,-1259.5493,20.3412,203.5308,8.0627
8.3968,-1259.5599,20.3587,203.5421,8.1202
8.4958,-1259.4446,20.4017,203.6100,7.1697
8.5962,-1259.0369,21.0014,203.4562,-9.6084
8.6966,-1258.2673,23.5366,200.9438,-31.7584
8.7967,-1257.1329,27.0805,195.5306,-55.9519
8.9096,-1255.2798,30.2809,187.0160,-79.4304
8.9966,-1252.5015,33.6494,175.3481,-102.3724
9.1015,-1249.5891,36.8476,160.7758,-123.8122
9.2009,-1246.5956,39.4936,142.7427,-143.9262
9.2994,-1243.2056,41.4412,122.6317,-161.3154
9.3994,-1239.6264,42.7902,100.3903,-175.7205
9.5000,-1235.9191,44.4646,77.0607,-186.9572
9.5984,-1232.1007,45.1728,52.4453,-195.0474
9.6988,-1229.1151,44.4450,24.2711,-201.1885
9.8006,-1225.3873,43.7451,-1.9636,-202.6581
9.8989,-1222.2815,43.1811,-27.6421,-200.9393
10.0015,-1219.2196,42.0634,-52.0938,-196.0945
10.1040,-1215.7006,40.2116,-76.5928,-187.9893
10.2001,-1211.9193,37.6271,-100.8075,-176.1176
10.3004,-1207.9122,34.9867,-125.1769,-162.0869
10.3998,-1205.0396,31.4014,-145.2939,-144.4121
10.5001,-1203.1768,27.3964,-162.8591,-124.3163
10.6000,-1201.6547,23.2307,-177.6240,-101.8655
10.7019,-1199.8463,18.8622,-189.3640,-77.7161
10.8003,-1198.9290,15.8384,-197.5752,-53.5541
10.9016,-1198.1990,11.8923,-202.4663,-28.0531
11.0013,-1198.2861,7.9220,-204.2535,-2.4482
11.1109,-1199.4192,4.0147,-202.7593,23.2408
11.2029,-1200.7631,-0.8182,-197.4071,50.5852
11.3027,-1203.2945,-5.0143,-188.5922,76.7187
11.4023,-1205.9407,-8.3816,-176.4264,101.0860
11.5039,-1208.9735,-11.6467,-161.2773,123.2925
11.6056,-1212.6482,-14.5761,-143.2146,143.6629
11.7043,-1216.7633,-16.3181,-122.6785,161.0988
11.8036,-1221.6757,-18.0507,-99.6041,175.9748
11.9049,-1225.7302,-19.2863,-75.0834,187.6122
12.0043,-1229.2208,-19.5035,-49.4944,195.6473
12.1068,-1233.8967,-19.5264,-21.3787,201.3827
12.2046,-1237.9402,-18.7153,4.7329,202.5349
12.3041,-1243.0752,-17.1180,31.9487,200.1131
12.4043,-1247.8689,-14.9177,59.1392,193.8524
12.5052,-1251.8483,-12.2081,84.7258,184.0810
12.6057,-1254.2728,-8.4651,110.0961,172.2761
12.7053,-1258.3572,-5.2301,131.9539,156.3726
12.8053,-1261.2891,-2.5680,151.3986,137.7850
12.9060,-1264.1215,1.1694,168.0890,116.8761
13.0054,-1266.5192,5.6478,182.2512,93.0039
13.1059,-1267.8927,9.8542,192.1870,68.3072
13.2062,-1268.5986,13.5496,199.1552,43.6311
13.3066,-1268.9683,17.5394,203.0022,18.0141
13.4062,-1268.7716,21.0209,203.5293,-7.5913
13.5065,-1268.1426,25.0527,200.7777,-33.4140
13.6139,-1267.0630,28.1613,194.9375,-58.0279
13.7048,-1265.0310,30.8355,186.0571,-81.6748
13.8089,-1262.3699,33.4195,174.0671,-104.4128
13.9086,-1259.4271,35.8647,159.2791,-125.7060
14.0080,-1255.9137,38.0992,141.2502,-145.3981
14.1122,-1251.8088,40.2110,120.6794,-162.6297
14.2092,-1247.6609,41.7185,98.6700,-176.6961
14.3107,-1242.8887,42.7299,74.5122,-187.9323
14.4076,-1238.7422,42.7662,46.6595,-197.1821
14.5086,-1234.1654,42.2757,21.5891,-201.5341
14.6122,-1229.4616,41.2369,-2.8041,-202.6401
14.7096,-1225.8448,40.2042,-26.9774,-201.0125
14.8092,-1222.4335,38.6399,-51.6920,-196.1327
14.9104,-1218.6820,36.4658,-76.1680,-188.0792
15.0098,-1214.7431,33.9841,-100.4542,-176.3542
15.1128,-1211.5454,31.1639,-122.9197,-161.4806
15.2100,-1207.1920,27.8670,-145.4183,-144.3430
15.3105,-1204.4725,23.9594,-162.9264,-124.0781
15.4093,-1202.5385,20.0310,-177.5155,-102.2904
15.5100,-1200.4102,15.4246,-189.1707,-78.4509
15.6104,-1198.6631,10.1941,-197.8129,-52.3902
15.7098,-1198.1667,5.6378,-202.8099,-25.6080
15.8098,-1198.6144,1.7009,-204.3186,0.9208
15.9121,-1199.4065,-3.2436,-202.0876,28.1879
16.0110,-1200.8884,-7.4917,-196.2017,55.1884
16.9302,-1232.4701,-24.6642,-47.3267,196.1819
17.4369,-1257.8546,-18.4040,84.4996,184.7334
17.5311,-1263.5516,-15.0346,110.6406,169.7423
17.6362,-1265.9520,-12.4394,135.0850,153.6570
17.7881,-1271.2973,-6.2244,167.5363,117.6120
17.8940,-1273.5107,-2.5919,180.9614,95.4708
17.9626,-1274.8449,1.4048,191.1761,71.2161
18.0295,-1275.5971,5.6727,198.5438,46.0696
