time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0001,-1231.6437,1.1571,204.0776,-0.0857
0.7826,-1231.6276,1.1376,204.0690,-0.0594
0.9063,-1231.6240,1.1506,204.0774,-0.0817
1.0642,-1231.6574,1.1876,204.1393,-0.0662
1.1068,-1231.5975,1.1786,204.0714,-0.0550
1.1743,-1231.6213,1.1744,204.1163,-0.0793
1.2079,-1231.6355,1.1904,204.1091,-0.0477
1.3200,-1231.6472,1.1636,204.1072,-0.0606
1.4089,-1231.6727,1.1656,204.1312,-0.0627
1.5111,-1231.6257,1.1744,204.0698,-0.0403
1.6095,-1231.6494,1.1522,204.0951,-0.0706
1.7120,-1231.6239,1.1600,204.0786,-0.0866
1.8068,-1231.6228,1.1461,204.0718,-0.0817
1.9115,-1231.6342,1.1425,204.0917,-0.0996
2.0093,-1231.6711,1.1268,204.1050,-0.0609
2.1121,-1231.6248,1.1280,204.1007,-0.0910
2.2122,-1231.5834,1.1633,204.0739,-0.0749
2.3113,-1231.5903,1.1390,204.0370,-0.0739
2.4116,-1231.6472,1.1368,204.1041,-0.0911
2.5106,-1231.6077,1.1325,204.0594,-0.0657
2.6128,-1231.5911,1.1593,204.0657,-0.0929
2.7122,-1231.6274,1.1555,204.1104,-0.0966
2.8115,-1231.6296,1.1699,204.0793,-0.0614
2.9130,-1231.6347,1.1645,204.1080,-0.0633
3.0117,-1231.6429,1.1606,204.1095,-0.0661
3.1115,-1231.6228,1.1502,204.0847,-0.1002
3.2152,-1231.6122,1.1560,204.1035,-0.0381
3.3137,-1231.6293,1.1648,204.0823,-0.0637
3.4129,-1231.6338,1.1535,204.1042,-0.0597
3.5133,-1231.6058,1.1689,204.0862,-0.0831
3.6147,-1231.6046,1.1391,204.0924,-0.0682
3.7136,-1231.5861,1.1391,204.0654,-0.0721
3.8149,-1231.6160,1.1535,204.0944,-0.0939
3.9139,-1231.6159,1.1377,204.0822,-0.0783
4.0141,-1231.5807,1.1393,204.0406,-0.0789
4.1168,-1231.5775,1.1503,204.0490,-0.0633
4.2157,-1231.5967,1.1447,204.0736,-0.0589
4.3152,-1231.6114,1.1151,204.0812,-0.0848
4.4157,-1231.6147,1.1356,204.0980,-0.0935
4.5139,-1231.6029,1.1417,204.0959,-0.0914
4.6178,-1231.6324,1.1555,204.1023,-0.1045
4.7180,-1231.6171,1.1615,204.1056,-0.0836
4.8178,-1231.6200,1.1513,204.1074,-0.0878
4.9180,-1231.6389,1.1544,204.1168,-0.0650
5.0177,-1231.6274,1.1523,204.1364,-0.0849
5.1192,-1231.6280,1.1445,204.0763,-0.0665
5.2184,-1231.6713,1.1661,204.1028,-0.0329
5.3178,-1231.6080,1.1634,204.0641,-0.0881
5.4172,-1231.6307,1.1647,204.0647,-0.0676
5.5183,-1231.6296,1.1535,204.0952,-0.0648
5.6184,-1231.6237,1.1388,204.0824,-0.0747
5.7184,-1231.6406,1.1488,204.0872,-0.0765
5.8194,-1231.6084,1.1437,204.0806,-0.0853
5.9199,-1231.6248,1.1327,204.0798,-0.0595
6.0196,-1231.5972,1.1496,204.0764,-0.0711
6.1211,-1231.6266,1.1388,204.0854,-0.0944
6.2214,-1231.6490,1.1546,204.0872,-0.0971
6.3200,-1231.6064,1.1366,204.0649,-0.0665
6.4180,-1231.6362,1.1342,204.0720,-0.0718
6.5205,-1231.6229,1.1658,204.1064,-0.0709
6.6224,-1231.6268,1.1678,204.1058,-0.1014
6.7323,-1231.6525,1.1562,204.0923,-0.0518
6.8225,-1231.6301,1.1329,204.1064,-0.0704
6.9223,-1231.6256,1.1424,204.0891,-0.0800
7.0240,-1231.6167,1.1580,204.0974,-0.0545
7.1234,-1231.6303,1.1694,204.0861,-0.0621
7.2230,-1231.6409,1.1822,204.0770,-0.0381
7.3227,-1231.6639,1.1740,204.1492,-0.0698
7.4227,-1231.6572,1.1743,204.1049,-0.0978
7.5236,-1231.6349,1.1569,204.1090,-0.0615
7.6223,-1231.5920,1.1550,204.0382,-0.0722
7.7250,-1231.6182,1.1336,204.0637,-0.0757
7.8271,-1231.6083,1.1399,204.0472,-0.0894
7.9234,-1231.6567,1.1129,204.0825,-0.0746
8.0253,-1231.5920,1.0951,204.0537,-0.0835
8.1254,-1231.5696,1.1051,204.0593,-0.0837
8.2240,-1231.5674,1.1665,204.0935,-0.0903
8.3254,-1231.5621,1.1464,204.0941,-0.0679
8.4254,-1231.5996,1.1341,204.1382,-0.0697
8.5250,-1231.5872,1.1589,204.1729,-0.0608
8.6274,-1231.5933,1.1853,204.1160,-0.0490
8.7263,-1231.6585,1.1789,204.1774,-0.0134
8.8251,-1231.6144,1.1934,204.1464,-0.0574
8.9256,-1231.6214,1.1763,204.1031,-0.0545
9.0275,-1231.6429,1.1789,204.1073,-0.0657
9.4257,-1231.6303,1.1416,204.0890,-0.1013
10.0685,-1231.5959,1.1230,204.1012,-0.1035
10.1325,-1231.6066,1.1166,204.1100,-0.0878
10.1849,-1231.5819,1.1415,204.0984,-0.1000
10.2372,-1231.5928,1.1548,204.1102,-0.0966
10.3300,-1231.5970,1.1181,204.1191,-0.0784
10.4290,-1231.5947,1.1355,204.0669,-0.0672
10.5286,-1231.6396,1.1402,204.1196,-0.0628
10.6313,-1231.6124,1.1569,204.1000,-0.0357
10.7293,-1231.6133,1.1725,204.0962,-0.0698
10.8284,-1231.6545,1.1762,204.1011,-0.0736
10.9279,-1231.6343,1.1434,204.1265,-0.0731
11.0314,-1231.6501,1.1712,204.0929,-0.0844
11.1315,-1231.6213,1.1474,204.0712,-0.0725
11.2347,-1231.6210,1.1619,204.0847,-0.0738
11.3312,-1231.6339,1.1459,204.0797,-0.0853
11.4317,-1231.6269,1.1353,204.0829,-0.0943
11.5280,-1231.6135,1.1605,204.0781,-0.1058
11.6309,-1231.6282,1.1347,204.0824,-0.0823
11.7303,-1231.6102,1.1602,204.0923,-0.0877
11.8319,-1231.5999,1.1533,204.0769,-0.0843
11.9334,-1231.6235,1.1504,204.1194,-0.0677
12.0524,-1231.6113,1.1660,204.1262,-0.0782
12.1414,-1231.6104,1.1282,204.1107,-0.0858
12.2317,-1231.6152,1.1385,204.1058,-0.1165
12.3330,-1231.6086,1.1494,204.0975,-0.0681
12.4324,-1231.6316,1.1492,204.0869,-0.0584
12.5349,-1231.6358,1.1687,204.0719,-0.0351
12.6311,-1231.5979,1.1899,204.0583,-0.0580
12.7328,-1231.6208,1.1632,204.0786,-0.0664
12.8354,-1231.6390,1.1501,204.0995,-0.0500
12.9360,-1231.6490,1.1310,204.1167,-0.0866
13.0351,-1231.6302,1.1628,204.0902,-0.1010
13.1361,-1231.5966,1.1578,204.0815,-0.1041
13.2677,-1231.6588,1.1284,204.0835,-0.0739
13.4439,-1231.5867,1.1726,204.0787,-0.1026
14.3447,-1231.5638,1.1454,204.0448,-0.0968
14.4063,-1231.5721,1.1433,204.0713,-0.1028
14.4680,-1231.6010,1.1622,204.0674,-0.0913
14.5359,-1231.6416,1.1687,204.0840,-0.0890
14.6376,-1231.6556,1.1487,204.1289,-0.0554
14.7370,-1231.6592,1.1455,204.1021,-0.0836
14.8383,-1231.6270,1.1798,204.0883,-0.1084
14.9379,-1231.6335,1.1486,204.0885,-0.0796
