time[s], wr_x[mm], wr_y[mm], x_heading, y_heading 
0.0001,689.5070,-492.0933,137.4899,148.7380
0.8137,689.4880,-492.1693,137.5115,148.7341
0.9510,689.4777,-492.1280,137.5128,148.7445
1.1208,689.4662,-492.1943,137.5130,148.7415
1.1606,689.5459,-492.0934,137.5048,148.7343
1.2581,689.4780,-492.2083,137.5049,148.7249
1.3246,689.4105,-492.2458,137.5004,148.7505
1.4263,689.4134,-492.2506,137.4970,148.7418
1.5272,689.4305,-492.2297,137.5114,148.7363
1.6308,689.5193,-492.1026,137.4937,148.7438
1.7277,689.5291,-492.1318,137.4999,148.7187
1.8273,689.5318,-492.0974,137.4901,148.7415
1.9284,689.5058,-492.1330,137.5215,148.7224
2.0280,689.4832,-492.1604,137.5044,148.7523
2.1278,689.5186,-492.1174,137.4972,148.7452
2.2282,689.4668,-492.1824,137.5258,148.7277
2.3278,689.5042,-492.1056,137.5011,148.7284
2.4285,689.5317,-492.0996,137.5013,148.7277
2.5286,689.5390,-492.1134,137.5033,148.7270
2.6303,689.6295,-491.9984,137.4861,148.7326
2.7286,689.6018,-492.0420,137.4841,148.7313
2.8263,689.5174,-492.1378,137.5057,148.7268
2.9286,689.5052,-492.1634,137.5006,148.7279
3.0300,689.4681,-492.2120,137.5250,148.7555
3.1314,689.4795,-492.2091,137.5267,148.7281
3.2315,689.4836,-492.1735,137.5228,148.7279
3.3307,689.5165,-492.1261,137.5179,148.7221
3.4837,689.5305,-492.1688,137.5173,148.7138
3.5427,689.5607,-492.1024,137.4913,148.7121
3.6525,689.5854,-492.0842,137.4927,148.7109
3.7343,689.5148,-492.1302,137.5026,148.7240
3.8324,689.4593,-492.1605,137.5096,148.7375
3.9321,689.4951,-492.1474,137.4982,148.7450
4.0319,689.4650,-492.2031,137.4878,148.7120
4.1340,689.4658,-492.2002,137.5412,148.7508
4.2328,689.4991,-492.1401,137.5148,148.7428
4.3322,689.4727,-492.1785,137.4133,148.7148
4.4328,689.5467,-492.1320,137.4885,148.7351
4.5321,689.4573,-492.2591,137.4943,148.7090
4.6570,689.5369,-492.1726,137.5028,148.7220
4.7338,689.5538,-492.1665,137.5194,148.7126
4.8348,689.6118,-492.0571,137.5001,148.7007
4.9334,689.5881,-492.0913,137.4816,148.7274
5.0334,689.5131,-492.2185,137.4965,148.7431
5.1356,689.5765,-492.1397,137.4888,148.7321
5.2344,689.5974,-492.0923,137.4886,148.7111
5.3330,689.5539,-492.1380,137.5072,148.7347
5.4344,689.5966,-492.0948,137.4754,148.6886
5.5340,689.5658,-492.1659,137.5170,148.7453
5.6341,689.6174,-492.0798,137.4941,148.7208
5.7349,689.6068,-492.1162,137.5208,148.6974
5.8349,689.6346,-492.0564,137.5250,148.7015
5.9353,689.5859,-492.1413,137.4933,148.7117
6.0355,689.5847,-492.1127,137.4836,148.7043
6.1369,689.5964,-492.0830,137.4708,148.7172
6.2379,689.5839,-492.0994,137.4752,148.7191
6.3368,689.5365,-492.1638,137.5036,148.7230
6.4752,689.5435,-492.1194,137.5481,148.7596
6.5518,689.5549,-492.1159,137.5470,148.7186
6.6370,689.4978,-492.1586,137.5656,148.7442
6.7364,689.4900,-492.2000,137.5566,148.7330
6.8368,689.5432,-492.1193,137.5832,148.7346
6.9380,689.6349,-492.0731,137.4660,148.7065
7.0389,689.6011,-492.1073,137.4877,148.7051
7.1398,689.6158,-492.0655,137.4918,148.7064
7.2404,689.5876,-492.1092,137.4744,148.7197
7.3395,689.5848,-492.1212,137.5062,148.6996
7.4399,689.5541,-492.1525,137.5182,148.7168
7.5395,689.6107,-492.0899,137.4523,148.6932
7.6392,689.6301,-492.0592,137.4904,148.7111
7.7387,689.6436,-492.0325,137.4690,148.7142
7.8399,689.6389,-492.0210,137.4958,148.7139
7.9394,689.6516,-491.9928,137.4715,148.7133
8.0395,689.6458,-492.0428,137.4794,148.7258
8.1412,689.6655,-492.0302,137.4818,148.6973
8.2398,689.5638,-492.1412,137.5038,148.7235
8.3399,689.5550,-492.1134,137.4937,148.7198
8.4407,689.5443,-492.1280,137.5134,148.7110
8.5409,689.5568,-492.1465,137.5065,148.6981
8.6384,689.5847,-492.1327,137.5055,148.7010
8.7432,689.6413,-492.0390,137.4918,148.7439
8.8419,689.6016,-492.1025,137.4753,148.6940
8.9420,689.6064,-492.0888,137.4949,148.7133
9.0417,689.6467,-492.0611,137.4685,148.7163
9.1445,689.5620,-492.1321,137.4978,148.7176
9.2418,689.4932,-492.1908,137.4963,148.7448
9.3418,689.4493,-492.2435,137.4996,148.7491
9.4729,689.4550,-492.2236,137.4846,148.7228
9.5431,689.4876,-492.2244,137.5233,148.7180
9.6433,689.5797,-492.1059,137.4803,148.7252
9.7446,689.6556,-491.9970,137.4758,148.6942
9.8447,689.6877,-492.0031,137.4834,148.7079
9.9438,689.6349,-492.0337,137.5031,148.7269
10.0452,689.6423,-492.0416,137.5081,148.7035
10.1463,689.4969,-492.1846,137.5107,148.7371
10.2442,689.5315,-492.1525,137.4886,148.7098
10.3451,689.4930,-492.1929,137.5173,148.7197
10.4472,689.5908,-492.1126,137.5081,148.7059
10.5463,689.6129,-492.0903,137.4885,148.7107
10.6452,689.6088,-492.1033,137.4964,148.7130
10.7450,689.6160,-492.0958,137.4884,148.7062
10.8470,689.6283,-492.1169,137.4915,148.6807
10.9473,689.5523,-492.1404,137.4929,148.7389
11.0445,689.5794,-492.1101,137.4960,148.7153
11.1457,689.5411,-492.1335,137.4899,148.7350
11.2468,689.5985,-492.0895,137.4920,148.7158
